time,open,high,low,close,Volume,Volume MA
2018-12-17T23:00:00Z,0.7221,0.7221,0.7221,0.7221,0,0.5
2018-12-18T23:00:00Z,0.7166,0.7166,0.7166,0.7166,0,0.5
2018-12-19T23:00:00Z,0.7173,0.7173,0.7173,0.7173,0,0.5
2018-12-20T23:00:00Z,0.7095,0.7095,0.7095,0.7095,0,0.5
2018-12-23T23:00:00Z,0.7089,0.7089,0.7089,0.7089,0,0.5
2018-12-25T23:00:00Z,0.7097,0.7097,0.7097,0.7097,5,0.75
2018-12-26T23:00:00Z,0.7064,0.7064,0.7064,0.7064,0,0.75
2018-12-27T23:00:00Z,0.709,0.709,0.709,0.709,0,0.75
2018-12-30T23:00:00Z,0.7087,0.7087,0.7087,0.7087,0,0.75
2019-01-01T23:00:00Z,0.7048,0.7048,0.7048,0.7048,7,1.1
2019-01-02T23:00:00Z,0.7047,0.7047,0.7047,0.7047,0,1.1
2019-01-03T23:00:00Z,0.7159,0.7159,0.7159,0.7159,5,1.35
2019-01-06T23:00:00Z,0.7187,0.7187,0.7187,0.7187,0,1.35
2019-01-07T23:00:00Z,0.7185,0.7185,0.7185,0.7185,0,1.35
2019-01-08T23:00:00Z,0.7228,0.7228,0.7228,0.7228,12,1.95
2019-01-09T23:00:00Z,0.7227,0.7227,0.7227,0.7227,0,1.7
2019-01-10T23:00:00Z,0.7252,0.7252,0.7252,0.7252,0,1.45
2019-01-13T23:00:00Z,0.7244,0.7244,0.7244,0.7244,0,1.45
2019-01-14T23:00:00Z,0.7238,0.7238,0.7238,0.7238,0,1.45
2019-01-15T23:00:00Z,0.7222,0.7222,0.7222,0.7222,0,1.45
2019-01-16T23:00:00Z,0.7244,0.7244,0.7244,0.7244,0,1.45
2019-01-17T23:00:00Z,0.7214,0.7214,0.7214,0.7214,0,1.45
2019-01-21T23:00:00Z,0.7164,0.7164,0.7164,0.7164,0,1.45
2019-01-22T23:00:00Z,0.719,0.719,0.719,0.719,0,1.45
2019-01-23T23:00:00Z,0.7134,0.7134,0.7134,0.7134,0,1.45
2019-01-24T23:00:00Z,0.7226,0.7226,0.7226,0.7226,0,1.2
2019-01-27T23:00:00Z,0.7212,0.7212,0.7212,0.7212,0,1.2
2019-01-28T23:00:00Z,0.7195,0.7195,0.7195,0.7195,0,1.2
2019-01-29T23:00:00Z,0.7316,0.7316,0.7316,0.7316,0,1.2
2019-01-30T23:00:00Z,0.7307,0.7307,0.7307,0.7307,0,0.85
2019-01-31T23:00:00Z,0.7293,0.7293,0.7293,0.7293,3,1
2019-02-03T23:00:00Z,0.7284,0.7284,0.7268,0.7268,2,0.85
2019-02-04T23:00:00Z,0.7272,0.7272,0.7272,0.7272,0,0.85
2019-02-05T23:00:00Z,0.716,0.716,0.716,0.716,0,0.85
2019-02-06T23:00:00Z,0.7144,0.7144,0.7144,0.7144,0,0.25
2019-02-07T23:00:00Z,0.7153,0.7153,0.7132,0.7132,2,0.35
2019-02-10T23:00:00Z,0.7124,0.7124,0.7107,0.7107,4,0.55
2019-02-11T23:00:00Z,0.7143,0.7143,0.7143,0.7143,0,0.55
2019-02-12T23:00:00Z,0.7172,0.7172,0.7139,0.7139,2,0.65
2019-02-13T23:00:00Z,0.7148,0.7148,0.7148,0.7148,0,0.65
2019-02-14T23:00:00Z,0.7182,0.7182,0.7182,0.7182,0,0.65
2019-02-18T23:00:00Z,0.7212,0.7212,0.7212,0.7212,0,0.65
2019-02-19T23:00:00Z,0.7216,0.7216,0.7216,0.7216,0,0.65
2019-02-20T23:00:00Z,0.7125,0.7125,0.7125,0.7125,1,0.7
2019-02-21T23:00:00Z,0.7177,0.7177,0.7177,0.7177,0,0.7
2019-02-24T23:00:00Z,0.7219,0.7219,0.7219,0.7219,0,0.7
2019-02-25T23:00:00Z,0.7236,0.7236,0.7236,0.7236,0,0.7
2019-02-26T23:00:00Z,0.7182,0.7182,0.7182,0.7182,6,1
2019-02-27T23:00:00Z,0.7136,0.7136,0.7136,0.7136,3,1.15
2019-02-28T23:00:00Z,0.7116,0.7116,0.7116,0.7116,0,1.15
2019-03-03T23:00:00Z,0.7129,0.7129,0.7129,0.7129,1,1.05
2019-03-04T23:00:00Z,0.7129,0.7129,0.7129,0.7129,0,0.95
2019-03-05T23:00:00Z,0.7073,0.7073,0.7073,0.7073,36,2.75
2019-03-06T23:00:00Z,0.7055,0.7055,0.7055,0.7055,0,2.75
2019-03-07T23:00:00Z,0.7092,0.7092,0.7092,0.7092,2,2.85
2019-03-10T22:00:00Z,0.7108,0.7108,0.7108,0.7108,3,2.9
2019-03-11T22:00:00Z,0.7133,0.7133,0.7133,0.7133,0,2.7
2019-03-12T22:00:00Z,0.7138,0.7138,0.7138,0.7138,3,2.85
2019-03-13T22:00:00Z,0.7112,0.7112,0.7112,0.7112,3,2.9
2019-03-14T22:00:00Z,0.7133,0.7133,0.7133,0.7133,0,2.9
2019-03-17T22:00:00Z,0.7148,0.7148,0.7148,0.7148,0,2.9
2019-03-18T22:00:00Z,0.7142,0.7142,0.7142,0.7142,0,2.9
2019-03-19T22:00:00Z,0.7195,0.7195,0.7195,0.7195,0,2.9
2019-03-20T22:00:00Z,0.7156,0.7156,0.7156,0.7156,0,2.85
2019-03-21T22:00:00Z,0.7132,0.7132,0.7132,0.7132,0,2.85
2019-03-24T22:00:00Z,0.7154,0.7154,0.7154,0.7154,0,2.85
2019-03-25T22:00:00Z,0.719,0.719,0.719,0.719,0,2.85
2019-03-26T22:00:00Z,0.7132,0.7132,0.7132,0.7132,3,2.7
2019-03-27T22:00:00Z,0.7125,0.7125,0.7125,0.7125,0,2.55
2019-03-28T22:00:00Z,0.7147,0.7147,0.7147,0.7147,2,2.65
2019-03-31T22:00:00Z,0.7163,0.7163,0.7163,0.7163,2,2.7
2019-04-01T22:00:00Z,0.7114,0.7114,0.7114,0.7114,3,2.85
2019-04-02T22:00:00Z,0.7168,0.7168,0.7168,0.7168,0,1.05
2019-04-03T22:00:00Z,0.717,0.717,0.717,0.717,1,1.1
2019-04-04T22:00:00Z,0.7154,0.7154,0.7154,0.7154,1,1.05
2019-04-07T22:00:00Z,0.7177,0.7177,0.7177,0.7177,1,0.95
2019-04-08T22:00:00Z,0.7175,0.7175,0.7175,0.7175,1,1
2019-04-09T22:00:00Z,0.7216,0.7216,0.7216,0.7216,0,0.85
2019-04-10T22:00:00Z,0.7168,0.7168,0.7168,0.7168,0,0.7
2019-04-11T22:00:00Z,0.7223,0.7223,0.7223,0.7223,0,0.7
2019-04-14T22:00:00Z,0.7223,0.7223,0.7223,0.7223,0,0.7
2019-04-15T22:00:00Z,0.7225,0.7225,0.7225,0.7225,5,0.95
2019-04-16T22:00:00Z,0.7222,0.7222,0.7222,0.7222,2,1.05
2019-04-17T22:00:00Z,0.7189,0.7189,0.7189,0.7189,0,1.05
2019-04-21T22:00:00Z,0.7181,0.7181,0.7181,0.7181,0,1.05
2019-04-22T22:00:00Z,0.7142,0.7142,0.7142,0.7142,0,1.05
2019-04-23T22:00:00Z,0.7061,0.7061,0.7061,0.7061,30,2.55
2019-04-24T22:00:00Z,0.7068,0.7068,0.7068,0.7068,0,2.4
2019-04-25T22:00:00Z,0.7105,0.7105,0.7096,0.7096,1,2.45
2019-04-28T22:00:00Z,0.7113,0.7113,0.7113,0.7113,0,2.35
2019-04-29T22:00:00Z,0.7093,0.7106,0.7093,0.7106,2,2.35
2019-04-30T22:00:00Z,0.7069,0.7069,0.7069,0.7069,20,3.2
2019-05-01T22:00:00Z,0.7053,0.7053,0.7053,0.7053,2,3.3
2019-05-02T22:00:00Z,0.705,0.7074,0.705,0.7074,2,3.35
2019-05-05T22:00:00Z,0.7056,0.7056,0.7056,0.7056,0,3.3
2019-05-06T22:00:00Z,0.7078,0.7078,0.7056,0.7056,1,3.3
2019-05-07T22:00:00Z,0.7051,0.7058,0.7041,0.7041,4,3.45
2019-05-08T22:00:00Z,0.7032,0.7046,0.7032,0.7046,1,3.5
2019-05-09T22:00:00Z,0.7048,0.7048,0.7048,0.7048,5,3.75
